School_id,Section_id,Teacher_id,Teacher_2_id,Teacher_3_id,Teacher_4_id,Name,Grade,Course_name,Course_number,Period,Subject,Term_name,Term_start,Term_end
1030,000-05-1030,,,,,"Study 2(M1,W1,F1,T2,TH2)",99,,,,Admin,,,
1030,000-11-1030,95906,,,,Study 4(M1-F2),99,,,,Admin,,,
1030,000-06-1030,34790,,,,"Study 2(T1,TH1,M2,W2,F2)",99,,,,Admin,,,
1030,000-17-1030,136312,,,,"Study 5(T1,TH1,M2,W2,F2)",99,,,,Admin,,,
1030,000-15-1030,29568,95906,,,"Study 5(M1,W1,F1,T2,TH2)",99,,,,Admin,,,
1030,000-13-1030,100568,34790,,,Study 6(M1-F2),99,,,,Admin,,,
1030,000-18-1030,29568,136312,,,"Study 3(T1,TH1,M2,W2,F2)",99,,,,Admin,,,
1030,000-07-1030,134793,29568,,,Study 6(M1-F2),99,,,,Admin,,,
1030,000-12-1030,86909,100568,95906,,Study 5(M1-F2),99,,,,Admin,,,
1030,000-02-1030,94495,29568,34790,,"Study 6(M1,W1,F1,T2,TH2)",99,,,,Admin,,,
1030,000-09-1030,49232,134793,136312,,Study 2(M1-F2),99,,,,Admin,,,
1030,000-08-1030,30550,86909,29568,,Study 1(M1-F2),99,,,,Admin,,,
1030,000-04-1030,97678,94495,100568,,"Study 6(T1,TH1,M2,W2,F2)",99,,,,Admin,,,
1030,000-14-1030,95906,49232,29568,95906,"Study 4(T1,TH1,M2,W2,F2)",99,,,,Admin,,,
1030,000-01-1030,94495,30550,134793,34790,"Study 2(T1,TH1,M2,W2,F2)",99,,,,Admin,,,
1030,000-03-1030,97678,97678,86909,136312,"Study 2(M1,W1,F1,T2,TH2)",99,,,,Admin,,,
1030,000-19-1030,95906,95906,94495,29568,"Study 4(M1,W1,F1,T2,TH2)",99,,,,Admin,,,
1030,000-10-1030,100562,94495,49232,100568,Study 3(M1-F2),99,,,,Admin,,,
1030,000-16-1030,136312,97678,30550,29568,"Study 3(M1,W1,F1,T2,TH2)",99,,,,Admin,,,
1030,000-20-1030,82327,95906,97678,134793,"Study 5(T1,TH1,M2,W2,F2)",99,,,,Admin,,,
1030,000-21-1030,82327,,95906,86909,"Study 5(M1,W1,F1,T2,TH2)",99,,,,Admin,,,
1030,000-22-1030,49232,,94495,94495,"Study 2(M1,W1,F1,T2,TH2)",99,,,,Admin,,,
1030,000-23-1030,49232,,97678,49232,"Study 2(T1,TH1,M2,W2,F2)",99,,,,Admin,,,
1030,000-24-1030,100568,,95906,30550,"Study 6(M1,W1,F1,T2,TH2)",99,,,,Admin,,,
1030,000-25-1030,100568,,,97678,"Study 6(T1,TH1,M2,W2,F2)",99,,,,Admin,,,
1030,000-26-1030,30550,,,95906,"Study 1(T1,TH1,M2,W2,F2)",99,,,,Admin,,,
1195,000-02E-1195,86886,,,94495,Study 1(4) 4(2) 6(6),99,,,,Admin,,,
1195,000-03NHS-1195,15054,,,97678,"Study 1(3) 3(2) 4(1,5) 5(6) 6(4)",99,,,,Admin,,,
1195,000-01E-1195,101502,,,95906,"Study 3(3) 5(1,5)",99,,,,Admin,,,
1195,000-02C-1195,114679,,,,"Study 1(2) 3(1,5) 4(6) 5(4) 6(3)",99,,,,Admin,,,
1195,000-01B-1195,100671,,,,"Study 1(1,5) 5(3)",99,,,,Admin,,,
1195,000-02B-1195,99691,,,,Study 3(6) 4(4) 6(2),99,,,,Admin,,,
1195,000-01NHS-1195,15054,,,,"Study 1(2) 3(1,5) 4(6) 5(4) 6(3)",99,,,,Admin,,,
1195,000-Zone01-1195,114679,,,,Study 2(1-6),99,,,,Admin,,,
1195,000-Zone02-1195,114679,,,,"Study 1(6) 3(4) 4(3) 5(2) 6(1,5)",99,,,,Admin,,,
1195,000-02NHS-1195,15054,,,,"Study 1(4) 3(3) 4(2) 5(1,5) 6(6)",99,,,,Admin,,,
1195,000-Zone03-1195,114679,,,,"Study 1(3) 3(2) 4(1,5) 5(6) 6(4)",99,,,,Admin,,,
1195,000-Zone04-1195,114679,,,,"Study 1(2) 3(1,5) 4(6) 5(4) 6(3)",99,,,,Admin,,,
1195,000-BC Calc-1195,100852,,,,"Study 1(6) 3(4) 4(3) 5(2) 6(1,5)",99,,,,Admin,,,
1195,000-Path-1195,125258,,,,"Study 1(1,5) 3(6) 4(4) 5(3) 6(2)",99,,,,Admin,,,
4323,Duty-Lunch-4323,134839,,,,Administrative Duty 5(M-F),99,,,,Admin,,,
4323,CPT-MSP-4323,119503,,,,"Common Planning Time 1-HR(T,R)",99,,,,Admin,,,
4323,CPT-ELA-4323,24869,,,,"Common Planning Time 2(T,R)",99,,,,Admin,,,
4323,CPT-ESL-4323,25417,,,,"Common Planning Time 3(T,R)",99,,,,Admin,,,
4323,CPT-HST-4323,82317,,,,"Common Planning Time 3(T,R)",99,,,,Admin,,,
4323,CPT-II-4323,114886,,,,Common Planning Time 4(M),99,,,,Admin,,,
4323,CPT-Sci-4323,119820,,,,"Common Planning Time 7(T,R)",99,,,,Admin,,,
4323,CPT-Math-4323,48923,,,,"Common Planning Time 5(T,R)",99,,,,Admin,,,
4323,CPT-8th-4323,49470,,,,"Common Planning Time 2(M,W,F)",99,,,,Admin,,,
4323,CPT-K2-4323,114691,,,,"Common Planning Time 4(T,R)",99,,,,Admin,,,
4323,CPT-4/5-4323,131186,,,,"Common Planning Time 3(T,R)",99,,,,Admin,,,
4323,CPT-7th-4323,90292,,,,"Common Planning Time 3(M,W,F)",99,,,,Admin,,,
4323,CPT-SEI-4323,100776,,,,"Common Planning Time 2(M,W,F)",99,,,,Admin,,,
4323,CPT-1st-4323,74222,,,,"Common Planning Time 7(M,W,F)",99,,,,Admin,,,
4323,CPT-2nd -4323,43965,,,,"Common Planning Time 8(M,W,F)",99,,,,Admin,,,
4323,CPT-6th-4323,114731,,,,"Common Planning Time 8(M,W,F)",99,,,,Admin,,,
4323,CPT-3rd-4323,114576,,,,"Common Planning Time 1(M,W,F)",99,,,,Admin,,,
4323,Duty-BusUn-4323,49427,,,,"Administrative Duty 8(M,W,F)",99,,,,Admin,,,
4323,ZLU-M1M-4323,90039,,,,"Lunch 5(M,W,F) 6(T,R)",99,,,,Admin,,,
4323,CPT-Math2-4323,90039,,,,"Common Planning Time 5(T,R)",99,,,,Admin,,,
4323,ZLU-M22-4323,94240,,,,"Lunch 4(T,R) 5(M,W,F)",99,,,,Admin,,,
4323,CPT-ESP-4323,124863,,,,Common Planning Time 4(M-F),99,,,,Admin,,,
4323,ZLU-M1-4323,87724,,,,Lunch 5(M-F),99,,,,Admin,,,
4323,ZLU-M2-4323,80078,,,,Lunch 5(M-F),99,,,,Admin,,,
4323,ZLU-GL-4323,28135,,,,"Lunch 7(M,W,F)",99,,,,Admin,,,
4323,ZLU-6-4323,49427,,,,Lunch 6(M-F),99,,,,Admin,,,
4323,ZLU-65-4323,101643,,,,"Lunch 5(T,R) 6(M,W,F)",99,,,,Admin,,,
4323,ZLU-sci-4323,119775,,,,"Lunch 5(T,R) 6(M,W,F)",99,,,,Admin,,,
4323,ZLU-00066-4323,124863,,,,"Lunch 6(T,R)",99,,,,Admin,,,
1990,CPT-004-1990,130217,,,,Common Planning Time 1(2) 3(7),99,,,,Admin,,,
1990,CPT-002-1990,124836,,,,Common Planning Time 1(2) 3(7),99,,,,Admin,,,
1990,CPT-006-1990,38467,,,,Common Planning Time 1(8) 3(5),99,,,,Admin,,,
1990,CPT-007-1990,121516,,,,Common Planning Time 1(3) 3(8),99,,,,Admin,,,
1990,CPT-013-1990,86753,,,,Common Planning Time 1(8) 3(5),99,,,,Admin,,,
1990,CPT-1-1990,104505,,,,Common Planning Time 1(2) 3(7),99,,,,Admin,,,
1990,CPT-014-1990,124684,,,,Common Planning Time 1(3) 3(8),99,,,,Admin,,,
1990,CPT-022-1990,43684,,,,Common Planning Time 1(8) 3(5),99,,,,Admin,,,
1990,CPT-018-1990,124834,,,,Common Planning Time 1(3) 3(8),99,,,,Admin,,,
1990,CPT-017-1990,91791,,,,Common Planning Time 1(8) 3(5),99,,,,Admin,,,
1990,CPT-021-1990,114839,,,,Common Planning Time 1(2) 3(7),99,,,,Admin,,,
1990,CPT-019-1990,49987,,,,Common Planning Time 1(3) 3(8),99,,,,Admin,,,
1990,ZLU-001-1990,135332,,,,Lunch 1-5(4),99,,,,Admin,,,
1991,ZLU-001-1991,46658,,,,Lunch 1-5(5),99,,,,Admin,,,
1285,000-01-1285,,,,,Study ,99,,,,Admin,,,
1210,CPT-11MATH-1210,87546,,,,"Common Planning Time 7(ThurA,ThuB)",99,,,,Admin,,,
1210,CPT-10MATH-1210,77524,,,,"Common Planning Time 6(MonA,MonB)",99,,,,Admin,,,
1210,CPT-11ELA-1210,132210,,,,"Common Planning Time 5(MonA,MonB)",99,,,,Admin,,,
